Supplement,Effectiveness,Description
Royal Jelly,Possibly Effective for,"Symptoms of menopause. Taking royal jelly by mouth, alone or with other ingredients, seems to somewhat improve symptoms of menopause. But it's not clear if applying royal jelly to the skin helps."
Royal Jelly,Possibly Ineffective for,"Hay fever. Taking royal jelly by mouth before and during pollen season doesn't seem to improve seasonal allergies. Diabetes. Taking royal jelly by mouth doesn't seem to improve blood sugar levels in people with diabetes. Physical performance in elderly adults. Taking royal jelly by mouth doesn't seem to improve hand grip strength, walking, or balance in elderly people living in a nursing home."
Rue,,
Rupturewort,,
Rusty-Leaved Rhododendron,Insufficient Evidence for,Aging. Bile duct stones. Gout. Headache. High blood pressure. Joint pain. Kidney stones. Migraine. Muscle soreness. A condition that causes persistent muscle pain (myofascial pain syndrome). Rheumatoid arthritis (RA). Pain due to pressure on the sciatic nerve (sciatica). Face pain (trigeminal neuralgia). Other conditions.
Rutin,,
Rye Grass,Possibly Effective for,"Enlarged prostate (benign prostatic hyperplasia or BPH). Taking rye grass pollen extract by mouth seems to improve symptoms such as pain in people with mild to moderate BPH. A condition that causes persistent pelvic pain, urinary problems, and sexual problems (Chronic prostatitis and chronic pelvic pain syndrome). Taking rye grass pollen extract by mouth might relieve some symptoms of chronic prostatitis and chronic pelvic pain syndrome."
S-23 - [Fast Facts],,
Saccharomyces Boulardii,Likely Effective for,Diarrhea. Taking S. boulardii by mouth can reduce how long diarrhea lasts in children. It's not clear if it helps children with longer-lasting diarrhea or if it helps adults.
Saccharomyces Boulardii,Possibly Effective for,Diarrhea in people taking antibiotics (antibiotic-associated diarrhea). Taking S. boulardii by mouth can help prevent diarrhea in adults and children being treated with antibiotics. Infection of the gastrointestinal tract by bacteria called Clostridioides difficile. Taking S. boulardii by mouth seems to help prevent diarrhea from C. difficile infection. Taking it along with antibiotics also seems to help prevent this infection from coming back. A digestive tract infection that can lead to ulcers (Helicobacter pylori or H. pylori). Taking S. boulardii by mouth along with standard H. pylori treatment helps prevent side effects such as diarrhea and nausea that occur with standard H. pylori treatment. But it isn't clear if taking S. boulardii helps these standard treatments to work better. A serious intestinal disease in premature infants (necrotizing enterocolitis or NEC). Most research shows that giving S. boulardii by mouth to preterm infants prevents NEC. Diarrhea caused by rotavirus. Taking S. boulardii by mouth seems to reduce how long diarrhea lasts in children with diarrhea caused by rotavirus. Travelers' diarrhea. Taking S. boulardii by mouth seems to reduce the risk of developing diarrhea while traveling.
Saccharomyces Boulardii,Possibly Ineffective for,Blood infection (sepsis). Giving S. boulardii to preterm infants by mouth does not prevent sepsis.
Safed Musli,Insufficient Evidence for,Athletic performance. Early research shows that taking safed musli for 2 months might increase walking and cycling speed in healthy people. Muscle strength. Early research shows that taking safed musli for 2 months does not seem to increase hand grip strength in healthy people. Breast-feeding. Cancer. Conditions in a man that prevent him from getting a woman pregnant within a year of trying to conceive (male infertility). Diabetes. Diarrhea. Erectile dysfunction (ED). Gonorrhea. Increasing sexual desire in healthy people. Obesity. Osteoarthritis. More conditions.
Safflower,Possibly Effective for,"High cholesterol. Using safflower oil in place of other oils in the diet might help lower total and low-density lipoprotein (LDL or ""bad"") cholesterol in people with and without high cholesterol."
Saffron,Possibly Effective for,Alzheimer disease. Taking saffron by mouth might improve some symptoms of Alzheimer disease by a small amount. Depression. Taking saffron by mouth with or without antidepressant drugs seems to improve symptoms of depression.
Sage,Possibly Effective for,"Memory and thinking skills (cognitive function). Taking sage by mouth seems to improve memory and thinking skills in healthy adults. But it's not clear if sage aromatherapy helps. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking common sage three times daily for 2 or 3 months reduces low-density lipoprotein (LDL or ""bad"") cholesterol and triglyceride levels. It also increases high-density lipoprotein (HDL or ""good"") cholesterol, in people with high cholesterol. Symptoms of menopause. Taking common sage extract by mouth for 4 weeks improves some symptoms of menopause, especially hot flashes, night sweats, and sleep problems."
Sage,Possibly Ineffective for,Pain after surgery. Using an oral rinse made of common sage doesn't seem to reduce pain after surgery.
Saigon Cinnamon,,
Salacia,Possibly Effective for,Diabetes. Early research shows that drinking salacia tea with each meal might lower glycated hemoglobin (HbA1C) levels in people with type 2 diabetes. Other early research shows that taking salacia with food for 6 weeks might reduce blood sugar and HbA1C levels in patients with type 2 diabetes.
Salatrim,Insufficient Evidence for,Weight loss. Other conditions.
Salep,,
Salvia Divinorum,Insufficient Evidence for,Producing hallucinations. Diarrhea. Depression. Headache. Rheumatism. Bloating. Regulating urination and bowel movements. Use as a tonic. Other conditions.
Same,Likely Effective for,Osteoarthritis. Taking SAMe by mouth seems to work about as well as ibuprofen and other similar drugs for reducing symptoms of osteoarthritis. But most people need to take SAMe for about a month before they feel better.
Same,Possibly Effective for,Reduced or blocked flow of bile from the liver (cholestasis). Taking SAMe by mouth or by IV is about as effective as taking the prescription drug called ursodeoxycholic acid. IV products can only be given by a healthcare provider. Depression. Taking SAMe by mouth might reduce symptoms of major depression in some people. It might be helpful for people who don't have a good response to prescription antidepressants. Sometimes it's helpful when used together with prescription antidepressants.
Samphire,,
Sandy Everlasting,,
Sangre De Grado,Possibly Effective for,"Diarrhea in people with HIV/AIDS. Crofelemer is a chemical from sangre de grado. Research shows that taking crofelemer reduces diarrhea in people with AIDS-related diarrhea. This product is approved by the U.S. Food and Drug Administration for this condition. Genital herpes. Crofelemer is a chemical from sangre de grado. Research shows that applying crofelemer to the skin helps treat genital and anal herpes outbreaks in people with AIDS. But it might not be helpful for herpes outbreaks that do not respond to acyclovir, a drug used to treat herpes infections. Travelers' diarrhea. Crofelemer is a chemical from sangre de grado. Research shows that taking crofelemer might help travelers' diarrhea go away about 6-8 hours faster."
Sangre De Grado,Possibly Ineffective for,A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS). Crofelemer is a chemical from sangre de grado. Research shows that taking crofelemer does not reduce pain or diarrhea in people with diarrhea-predominant IBS (IBS-D).
Sangre De Grado,Insufficient Evidence for,Insect bite. Early research shows that applying sangre de grado to the skin relieves symptoms of insect bites and skin irritation due to plants. Bleeding gums. Bone cancer. Cholera. Common cold. Diarrhea caused by cancer drug treatment. Diarrhea in people taking antibiotics (antibiotic-associated diarrhea). Eczema (atopic dermatitis). Fever. Fractures. Hemorrhoids. Infection of the gastrointestinal tract by bacteria called Clostridium difficile. Menstrual cramps (dysmenorrhea). Mouth and throat ulcers. Stomach ulcers. Swelling (inflammation) of the vagina (vaginitis). Tuberculosis. Tumors. Upper airway infection. Wound healing. Other conditions.
